territory_id,territory_name,rail_year,rail_km_total,rail_km_high_speed,rail_km_other
08,Castilla-La Mancha,1868,819.3253668439464,0.0,819.3253668439464
09,Cataluña,1868,680.2823417549107,0.0,680.2823417549107
10,Comunitat Valenciana,1868,371.41341103904807,0.0,371.41341103904807
11,Extremadura,1868,222.48992963200166,0.0,222.48992963200166
12,Galicia,1868,0.0,0.0,0.0
13,Comunidad de Madrid,1868,184.56789670791574,0.0,184.56789670791574
14,Región de Murcia,1868,139.6321495321365,0.0,139.6321495321365
15,Comunidad Foral de Navarra,1868,188.83433846896992,0.0,188.83433846896992
16,País Vasco,1868,249.61933441661634,0.0,249.61933441661634
17,La Rioja,1868,115.69415766275554,0.0,115.69415766275554
18,Ceuta,1868,0.0,0.0,0.0
19,Melilla,1868,0.0,0.0,0.0
01,Andalucía,1869,944.201698348503,0.0,944.201698348503
02,Aragón,1869,351.3481668249649,0.0,351.3481668249649
03,Principado de Asturias,1869,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1869,0.0,0.0,0.0
05,Canarias,1869,0.0,0.0,0.0
06,Cantabria,1869,101.84279507387967,0.0,101.84279507387967
07,Castilla y León,1869,860.9274688144726,0.0,860.9274688144726
08,Castilla-La Mancha,1869,819.3253668439464,0.0,819.3253668439464
09,Cataluña,1869,680.2823417549107,0.0,680.2823417549107
10,Comunitat Valenciana,1869,371.41341103904807,0.0,371.41341103904807
11,Extremadura,1869,222.48992963200166,0.0,222.48992963200166
12,Galicia,1869,0.0,0.0,0.0
13,Comunidad de Madrid,1869,184.56789670791574,0.0,184.56789670791574
14,Región de Murcia,1869,139.6321495321365,0.0,139.6321495321365
15,Comunidad Foral de Navarra,1869,188.83433846896992,0.0,188.83433846896992
16,País Vasco,1869,249.61933441661634,0.0,249.61933441661634
17,La Rioja,1869,115.69415766275554,0.0,115.69415766275554
18,Ceuta,1869,0.0,0.0,0.0
19,Melilla,1869,0.0,0.0,0.0
01,Andalucía,1870,1012.9185110266517,0.0,1012.9185110266517
02,Aragón,1870,351.3481668249649,0.0,351.3481668249649
03,Principado de Asturias,1870,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1870,0.0,0.0,0.0
05,Canarias,1870,0.0,0.0,0.0
06,Cantabria,1870,101.84279507387967,0.0,101.84279507387967
07,Castilla y León,1870,860.9274688144726,0.0,860.9274688144726
08,Castilla-La Mancha,1870,819.3253668439464,0.0,819.3253668439464
09,Cataluña,1870,680.2823417549107,0.0,680.2823417549107
10,Comunitat Valenciana,1870,371.41341103904807,0.0,371.41341103904807
11,Extremadura,1870,222.48992963200166,0.0,222.48992963200166
12,Galicia,1870,0.0,0.0,0.0
13,Comunidad de Madrid,1870,184.56789670791574,0.0,184.56789670791574
14,Región de Murcia,1870,139.6321495321365,0.0,139.6321495321365
15,Comunidad Foral de Navarra,1870,188.83433846896992,0.0,188.83433846896992
16,País Vasco,1870,249.61933441661634,0.0,249.61933441661634
17,La Rioja,1870,115.69415766275554,0.0,115.69415766275554
18,Ceuta,1870,0.0,0.0,0.0
19,Melilla,1870,0.0,0.0,0.0
01,Andalucía,1871,1032.882317694224,0.0,1032.882317694224
02,Aragón,1871,351.3481668249649,0.0,351.3481668249649
03,Principado de Asturias,1871,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1871,0.0,0.0,0.0
05,Canarias,1871,0.0,0.0,0.0
06,Cantabria,1871,101.84279507387967,0.0,101.84279507387967
07,Castilla y León,1871,860.9274688144726,0.0,860.9274688144726
08,Castilla-La Mancha,1871,819.3253668439464,0.0,819.3253668439464
09,Cataluña,1871,680.2823417549107,0.0,680.2823417549107
10,Comunitat Valenciana,1871,371.41341103904807,0.0,371.41341103904807
11,Extremadura,1871,222.48992963200166,0.0,222.48992963200166
12,Galicia,1871,0.0,0.0,0.0
13,Comunidad de Madrid,1871,184.56789670791574,0.0,184.56789670791574
14,Región de Murcia,1871,139.6321495321365,0.0,139.6321495321365
15,Comunidad Foral de Navarra,1871,188.83433846896992,0.0,188.83433846896992
16,País Vasco,1871,249.61933441661634,0.0,249.61933441661634
17,La Rioja,1871,115.69415766275554,0.0,115.69415766275554
18,Ceuta,1871,0.0,0.0,0.0
19,Melilla,1871,0.0,0.0,0.0
01,Andalucía,1872,1032.882317694224,0.0,1032.882317694224
02,Aragón,1872,351.3481668249649,0.0,351.3481668249649
03,Principado de Asturias,1872,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1872,0.0,0.0,0.0
05,Canarias,1872,0.0,0.0,0.0
06,Cantabria,1872,101.84279507387967,0.0,101.84279507387967
07,Castilla y León,1872,875.279810640224,0.0,875.279810640224
08,Castilla-La Mancha,1872,819.3253668439464,0.0,819.3253668439464
09,Cataluña,1872,691.0254413637558,0.0,691.0254413637558
10,Comunitat Valenciana,1872,371.41341103904807,0.0,371.41341103904807
11,Extremadura,1872,222.48992963200166,0.0,222.48992963200166
12,Galicia,1872,0.0,0.0,0.0
13,Comunidad de Madrid,1872,184.56789670791574,0.0,184.56789670791574
14,Región de Murcia,1872,139.6321495321365,0.0,139.6321495321365
15,Comunidad Foral de Navarra,1872,188.83433846896992,0.0,188.83433846896992
16,País Vasco,1872,249.61933441661634,0.0,249.61933441661634
17,La Rioja,1872,115.69415766275554,0.0,115.69415766275554
18,Ceuta,1872,0.0,0.0,0.0
19,Melilla,1872,0.0,0.0,0.0
01,Andalucía,1873,1095.2153316842594,0.0,1095.2153316842594
02,Aragón,1873,351.3481668249649,0.0,351.3481668249649
03,Principado de Asturias,1873,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1873,0.0,0.0,0.0
05,Canarias,1873,0.0,0.0,0.0
06,Cantabria,1873,101.84279507387967,0.0,101.84279507387967
07,Castilla y León,1873,875.279810640224,0.0,875.279810640224
08,Castilla-La Mancha,1873,819.3253668439464,0.0,819.3253668439464
09,Cataluña,1873,691.0254413637558,0.0,691.0254413637558
10,Comunitat Valenciana,1873,371.41341103904807,0.0,371.41341103904807
11,Extremadura,1873,222.48992963200166,0.0,222.48992963200166
12,Galicia,1873,38.83769882623632,0.0,38.83769882623632
